cluster,contamination,test_f1_score,test_recall,test_precision,confusion_matrix,y_val,test_outliers
Cluster 0,0.01,0.14689265536723164,0.09811320754716982,0.29213483146067415,"[[  26  239]
 [  63 6861]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,0.02,0.18271604938271604,0.13962264150943396,0.2642857142857143,"[[  37  228]
 [ 103 6821]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,0.03,0.17372881355932204,0.15471698113207547,0.19806763285024154,"[[  41  224]
 [ 166 6758]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,0.04,0.17325800376647832,0.17358490566037735,0.17293233082706766,"[[  46  219]
 [ 220 6704]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 0,0.05,0.15384615384615385,0.17358490566037735,0.13813813813813813,"[[  46  219]
 [ 287 6637]]","100906    0
14693     0
61843     0
19012     0
45371     0
         ..
37507     0
12359     0
56198     0
71697     0
39507     0
Name: true_anomaly, Length: 7189, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,0.01,0.22941176470588234,0.16595744680851063,0.37142857142857144,"[[   78   392]
 [  132 19903]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,0.02,0.39953810623556585,0.3680851063829787,0.43686868686868685,"[[  173   297]
 [  223 19812]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,0.03,0.3557692307692307,0.39361702127659576,0.32456140350877194,"[[  185   285]
 [  385 19650]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 1,0.04,0.31858407079646023,0.42127659574468085,0.25614489003880986,"[[  198   272]
 [  575 19460]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 1 ... 0 0 0]
Cluster 1,0.05,0.28844839371155157,0.44893617021276594,0.21248741188318226,"[[  211   259]
 [  782 19253]]","72858    0
78349    0
97398    0
63384    0
26476    0
        ..
30306    0
10742    0
52925    0
14305    0
69437    0
Name: true_anomaly, Length: 20505, dtype: int64",[0 0 1 ... 0 0 0]
Cluster 2,0.01,0.2644628099173554,0.17391304347826086,0.5517241379310345,"[[  16   76]
 [  13 3786]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,0.02,0.467065868263473,0.42391304347826086,0.52,"[[  39   53]
 [  36 3763]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,0.03,0.4285714285714285,0.4891304347826087,0.3813559322033898,"[[  45   47]
 [  73 3726]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,0.04,0.3884297520661157,0.5108695652173914,0.31333333333333335,"[[  47   45]
 [ 103 3696]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
Cluster 2,0.05,0.38267148014440433,0.5760869565217391,0.2864864864864865,"[[  53   39]
 [ 132 3667]]","84424     0
49745     0
1156      0
32628     0
16983     0
         ..
68589     0
49973     0
70427     0
104183    0
80740     0
Name: true_anomaly, Length: 3891, dtype: int64",[0 0 0 ... 0 0 0]
